time,open,high,low,close,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,MA 9,MA 13,MA 21,MA 34,MA 50,MA 72,MA 89,MA 100,MA 200,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Gap Flag,Winning Gap-up Box,Losing Gap-up Box,Break Even Gap Box,Winning Gap-down Box,Losing Gap-down Box,Volume,Volume MA,Relative Vol
1663939800,11.76,12.6108,11.5425,11.85,11.39621094108885,11.215095366387914,11.325319141640216,12.400081159395443,14.893931634756921,18.487006779355703,NaN,NaN,NaN,11.319999999999991,11.043076923076923,10.43999999999999,11.36647058823529,13.498600000000001,19.483611111111113,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,261419,135811.8,2.0389645914706875
1664199000,11.6,12.5,10.54,12.45,11.60696875287108,11.391510314046783,11.42756285603656,12.402933664572846,14.798091178491944,18.321609333345958,NaN,NaN,NaN,11.48777777777777,11.245384615384616,10.58857142857142,11.127647058823527,13.157600000000002,19.25791666666667,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,153153,131997.4,1.1730064450903577
1664285400,12.45,12.91,12.14,12.31,11.747575002296864,11.522723126325815,11.507784414578692,12.397623169454397,14.700518975413829,18.156907707774835,NaN,NaN,NaN,11.645555555555546,11.432307692307692,10.743809523809515,11.042352941176468,12.827400000000003,19.123333333333335,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,135485,129182.65,0.9901826898782415
1664371800,12.35,13.49,12.13,13.2,12.038060001837492,11.76233410827927,11.661622195071539,12.443473274057002,14.64167509402505,18.021102017150866,NaN,NaN,NaN,11.915555555555548,11.621538461538462,10.922380952380944,11.059117647058821,12.513600000000002,18.875833333333336,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,76556,129097.75,0.5462998312347692
1664458200,12.69,14.1,12.34,13.25,12.280448001469994,11.974857807096516,11.806020177337762,12.48956051553946,14.587099600141714,17.89038689339331,NaN,NaN,NaN,12.252222222222214,11.776153846153846,11.104761904761897,10.882647058823528,12.215000000000002,18.522361111111113,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,385291,133198.35,2.421289639994093
1664544600,13.1,14.8385,12.5212,12.84,12.392358401175995,12.09844954893987,11.90001834303433,12.509585628937204,14.518585890332236,17.752020129190754,NaN,NaN,NaN,12.415555555555548,11.922307692307694,11.251428571428564,10.853235294117646,11.918600000000001,18.103472222222226,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,128737,136189.85,0.806394357488234
1664803800,12.695,13.22,12,12.41,12.395886720940796,12.142956756234174,11.94638031184939,12.503895021569363,14.43589624757411,17.605663413322514,NaN,NaN,NaN,12.483333333333325,12.039230769230771,11.389999999999993,10.829117647058823,11.730000000000002,17.727083333333336,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,70385,137228.5,0.44164859313281907
1664890200,12.9,15.6,12.7006,15.56,13.028709376752637,12.631105791057863,12.274891192590355,12.6785295917654,14.479978747669243,17.549617840354774,NaN,NaN,NaN,12.846666666666659,12.407692307692308,11.679047619047612,10.943823529411766,11.6728,17.328472222222224,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,570317,159733.7,2.922524052583514
1664976600,15.25,16.37,14.5015,16.24,13.67096750140211,13.146662106621024,12.635355629627595,12.882042186521662,14.548999188937115,17.513737899523136,NaN,NaN,NaN,13.345555555555556,12.87076923076923,11.991428571428562,11.124411764705885,11.661399999999999,16.98805555555555,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,179737,166330.95,0.9084587180075931
1665063000,15.7,18.5,15.5,17.9,14.516774001121687,13.825710377103734,13.113959663297814,13.168782633006138,14.680410985449384,17.524320422823873,18.822120224719104,NaN,NaN,14.017777777777777,13.373076923076924,12.37619047619047,11.33588235294118,11.720799999999997,16.75263888888888,18.822120224719104,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,297028,179669.6,1.3909228595588
1665149400,17.29,20.2,16.85,20.05,15.62341920089735,14.714894608946057,13.744508784816196,13.561995053977217,14.890983103667056,17.593517123568425,18.84940644194757,NaN,NaN,14.862222222222224,14.00769230769231,12.860476190476183,11.624411764705886,11.836999999999998,16.62430555555555,18.856502247191013,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,423275,194862.4,1.8905290265443249
